Id,Beds,Baths,ListingType,Area,Population,Schools,Colleges,Universities,Amenties,Airbnbs,CityName,Price,AveragePrice,AboveBelowAvg
M73000004-25866648,4,5,Single Family,4358,229660,20,0,0,8,61,Windsor,1749000,428016,A
M73000004-25866759,6,4,Single Family,4714,9390,0,0,0,4,69,The Blue Mountains,4490000,1066799,A
M73000004-25866844,5,2,Single Family,2027,13131,0,0,0,0,0,West Grey,809000,1173032,B
M73000004-25866961,4,3,Single Family,1280,422324,45,1,0,132,68,London,610000,691690,B
M73000004-25867012,4,4,Single Family,3000,72051,12,1,1,15,27,Sault Ste. Marie,939900,425953,A
M73000004-25867491,4,3,Single Family,2421,717961,55,1,0,193,116,Mississauga,1574800,695793,A
M73000004-25867528,2,1,Single Family,700,7466,0,0,0,0,0,Fort Frances,65000,243645,B
M73000004-25867603,4,2,Single Family,1200,46705,8,1,0,16,15,Woodstock,749999,659229,A
M73000004-25867722,5,4,Single Family,2471,28883,4,0,0,4,26,Grimsby,1799000,754703,A
M73000004-25867847,3,2,Single Family,1800,19088,0,0,0,0,0,Niagara-on-the-Lake,3499000,1651537,A
